date,result
1994-01-20,2675
1994-01-24,3947
1994-01-27,2414
1994-01-31,1828
1994-02-03,1265
1994-02-07,2283
1994-02-10,2202
1994-02-14,8876
1994-02-17,4658
1994-02-21,1771
1994-02-24,3780
1994-02-28,4636
1994-03-03,4471
1994-03-07,6527
1994-03-10,5051
1994-03-14,6351
1994-03-17,9410
1994-03-21,5782
1994-03-24,0289
1994-03-28,1468
1994-03-31,2059
1994-04-04,8981
1994-04-07,9237
1994-04-11,5901
1994-04-14,3925
1994-04-18,9589
1994-04-21,2121
1994-04-25,7067
1994-04-28,3728
1994-05-02,4954
1994-05-05,5198
1994-05-09,1638
1994-05-12,9809
1994-05-16,3726
1994-05-19,2145
1994-05-23,1232
1994-05-26,2776
1994-05-30,3610
1994-06-02,6500
1994-06-06,4757
1994-06-09,6193
1994-06-13,2908
1994-06-16,2923
1994-06-20,4670
1994-06-23,2752
1994-06-27,3438
1994-06-30,2562
1994-07-04,5843
1994-07-07,7982
1994-07-11,2644
1994-07-14,2488
1994-07-18,3857
1994-07-21,4782
1994-07-25,9121
1994-07-28,7094
1994-08-01,4827
1994-08-04,8599
1994-08-08,8965
1994-08-11,5619
1994-08-15,1493
1994-08-18,6974
1994-08-22,6194
1994-08-25,5574
1994-08-29,0004
1994-09-01,5740
1994-09-05,8240
1994-09-08,5754
1994-09-12,8166
1994-09-15,8166
1994-09-19,3285
1994-09-22,3829
1994-09-26,2274
1994-09-29,0775
1994-10-03,2853
1994-10-06,4542
1994-10-10,2904
1994-10-13,2702
1994-10-17,2444
1994-10-20,2518
1994-10-24,1729
1994-10-27,5120
1994-10-31,3023
1994-11-03,9674
1994-11-07,1738
1994-11-10,2361
1994-11-14,1305
1994-11-17,1585
1994-11-21,2660
1994-11-24,1847
1994-11-28,1429
1994-12-01,2843
1994-12-05,8216
1994-12-08,6734
1994-12-12,8983
1994-12-15,2716
1994-12-19,9251
1994-12-22,0577
1994-12-26,2963
1994-12-29,9626
1995-01-02,2591
1995-01-05,1565
1995-01-09,8242
1995-01-12,4553
1995-01-16,9273
1995-01-19,7046
1995-01-23,2576
1995-01-26,3985
1995-01-30,2822
1995-02-02,9258
1995-02-06,3587
1995-02-09,1642
1995-02-13,9389
1995-02-16,1892
1995-02-20,3431
1995-02-23,1035
1995-02-27,5294
1995-03-02,5893
1995-03-06,4304
1995-03-09,4884
1995-03-13,3437
1995-03-16,2136
1995-03-20,3725
1995-03-23,7906
1995-03-27,3830
1995-03-30,7972
1995-04-03,2561
1995-04-06,7172
1995-04-10,6858
1995-04-13,7265
1995-04-17,8194
1995-04-20,2399
1995-04-24,2770
1995-04-27,3644
1995-05-01,7445
1995-05-04,3653
1995-05-08,9727
1995-05-11,1431
1995-05-15,7081
1995-05-18,6181
1995-05-22,2343
1995-05-25,1650
1995-05-29,3476
1995-06-01,4136
1995-06-05,8828
1995-06-08,1221
1995-06-12,9569
1995-06-15,1250
1995-06-19,7322
1995-06-22,0199
1995-06-26,6177
1995-06-29,2446
1995-07-03,8890
1995-07-06,1518
1995-07-10,2780
1995-07-13,8429
1995-07-17,2047
1995-07-20,5143
1995-07-24,1396
1995-07-27,1525
1995-07-31,1555
1995-08-03,3836
1995-08-07,5662
1995-08-10,6571
1995-08-14,3686
1995-08-17,1285
1995-08-21,0265
1995-08-24,4386
1995-08-28,9560
1995-08-31,4154
1995-09-04,2713
1995-09-07,3430
1995-09-11,5625
1995-09-14,7449
1995-09-18,2629
1995-09-21,0278
1995-09-25,1375
1995-09-28,6750
1995-10-02,1334
1995-10-05,3497
1995-10-09,5362
1995-10-12,1298
1995-10-16,7611
1995-10-19,0187
1995-10-23,4406
1995-10-26,5561
1995-10-30,3337
1995-11-02,3517
1995-11-06,1295
1995-11-09,2787
1995-11-13,1795
1995-11-16,2984
1995-11-20,2882
1995-11-23,4626
1995-11-27,1340
1995-11-30,1483
1995-12-04,9578
1995-12-07,9288
1995-12-11,2052
1995-12-14,6919
1995-12-18,7675
1995-12-21,3473
1995-12-25,3551
1995-12-28,1805
1996-01-01,4723
1996-01-04,2679
1996-01-08,5755
1996-01-11,1620
1996-01-15,9978
1996-01-18,7446
1996-01-22,1366
1996-01-25,5048
1996-01-29,5633
1996-02-01,4960
1996-02-05,5876
1996-02-08,3854
1996-02-12,3388
1996-02-15,2423
1996-02-19,9660
1996-02-22,1170
1996-02-26,4573
1996-02-29,1375
1996-03-04,3954
1996-03-07,5162
1996-03-11,4733
1996-03-14,9042
1996-03-18,4131
1996-03-21,9540
1996-03-25,1647
1996-03-28,6704
1996-04-01,3049
1996-04-04,5173
1996-04-08,2658
1996-04-11,5668
1996-04-15,1768
1996-04-18,9401
1996-04-22,7261
1996-04-25,3738
1996-04-29,7937
1996-05-02,5855
1996-05-06,6781
1996-05-09,4153
1996-05-13,5423
1996-05-16,8685
1996-05-20,4451
1996-05-23,5156
1996-05-27,9368
1996-05-30,6694
1996-06-03,0389
1996-06-06,7175
1996-06-10,2732
1996-06-13,4908
1996-06-17,2518
1996-06-20,1978
1996-06-24,1646
1996-06-27,1958
1996-07-01,5619
1996-07-04,2876
1996-07-08,6764
1996-07-11,1233
1996-07-15,2536
1996-07-18,6956
1996-07-22,7919
1996-07-25,6147
1996-07-29,6754
1996-08-01,2202
1996-08-05,2387
1996-08-08,8396
1996-08-12,2792
1996-08-15,7171
1996-08-19,7606
1996-08-22,2301
1996-08-26,7162
1996-08-29,5651
1996-09-02,7050
1996-09-05,8077
1996-09-09,2279
1996-09-12,5015
1996-09-16,4703
1996-09-19,0198
1996-09-23,1949
1996-09-26,4723
1996-09-30,4186
1996-10-03,5469
1996-10-07,4605
1996-10-10,2933
1996-10-14,4535
1996-10-17,7314
1996-10-21,0037
1996-10-24,6505
1996-10-28,1181
1996-10-31,8403
1996-11-04,6706
1996-11-07,7785
1996-11-11,0325
1996-11-14,1624
1996-11-18,0525
1996-11-21,9861
1996-11-25,7827
1996-11-28,5049
1996-12-02,9921
1996-12-05,1383
1996-12-09,6110
1996-12-12,4785
1996-12-16,2735
